A,B,C,D
-0.4816597335978902,7.459784191150574,dog,0
-0.3155782321740724,6.349253982813047,cat,38
-1.4229970185431686,2.16813347274266,cat,17
2.1266473028905146,7.533559226568125,dog,0
-1.0061194924172037,9.354150252689683,dog,38
-0.6175030354430031,10.01776104244536,cat,49
0.9240983781468781,13.466856284711044,cat,49
-1.841371363630993,11.155162867731429,mouse,8
-0.7519235428168146,9.186776800039441,mouse,78
0.105783187570221,7.38969510428904,cat,7
,7.00235681885637,dog,86
,12.488881890654831,dog,99
,16.841813926768726,mouse,67
,12.89184165953737,mouse,41
,12.842742628040815,cat,24
,11.535107790090873,cat,58
-1.3361689307358453,16.304711401062434,cat,74
0.10963187528559074,15.435119018033372,mouse,37
0.1230113694358113,12.46241797153474,dog,27
0.503095942838701,9.574650543752648,cat,83
2.6632809762444105,3.1677747716894835,,56
-1.324645731152645,10.452807645551388,,27
0.8506887390606005,4.466603233702142,,64
-1.8348252779538303,6.337868476405006,,39
-0.2771059182521224,15.824330591602667,,3
-1.4636356849176082,1.0494342542821968,,6
0.5156909681548648,9.309574177879355,dog,32
-0.9127548652938856,11.028275523408013,dog,24
0.0949162823790876,10.088104442323441,dog,38
-0.017359818103712597,7.056410294930631,mouse,93
0.29025945696139316,6.5340188184310595,cat,34
0.7320230654720546,15.553523330002285,mouse,82
0.6026095217054243,8.255467190604964,dog,23
-0.8290590128242076,7.791593938190042,mouse,36
0.6143421234506711,2.1212249224151547,dog,10
0.42319614039225356,14.950629546604139,dog,90
-0.060571528111662325,9.6328855976286,cat,37
1.3420475442471909,8.992511597621371,cat,12
0.988918072694579,8.875978989994021,cat,83
-1.8356902423150878,10.479747109618897,cat,70
1.7636290302247168,12.827677873112865,cat,31
0.5749745599734476,9.892490835758995,mouse,13
-0.35291676073167133,6.938571811880198,dog,65
0.2142424220556548,10.774518705499245,cat,7
-0.5418902102037497,9.229593049948793,cat,71
0.04789755595108902,14.809816193168583,dog,73
0.722883855992741,16.94792606055841,cat,33
-0.568514023890842,8.866397671979273,cat,81
0.23647179202977273,1.0461056155359412,mouse,72
0.25541813943944613,8.57400587126672,dog,49
-0.5380323011953306,6.5270136123841995,cat,9
1.013554484999376,8.574154661868299,dog,21
-0.17223567527311576,12.621052339065496,cat,91
-0.15958118922497322,11.739058849626216,dog,65
0.9294464502956274,11.908191753081146,dog,93
1.1649810531415596,3.627815530083332,cat,44
2.0218231382039185,16.711167240493452,cat,23
0.2364862536705738,9.450208904394136,dog,54
-1.3345667426960672,5.343294890363465,dog,30
0.2649666716308957,10.695197909159848,mouse,57
-0.9530851361859356,7.491763848213246,cat,38
-0.13579787369465054,11.234005112307731,cat,80
0.7076448555007552,12.567502364025747,mouse,79
-1.1571559637848496,18.620157817519193,mouse,3
0.7826136646195423,10.083242899210266,mouse,73
1.8055149681765412,9.687443355392839,cat,16
-0.6605931526101576,15.476313687452308,cat,21
0.5286850239991778,11.547099688433589,dog,77
1.9705869626986299,5.653272273502184,dog,40
-0.1605746906990209,18.524854124618678,dog,1
-0.08453211085898134,5.320561453933231,cat,45
1.4751522760168214,13.85679693622182,cat,42
1.4236801771826095,11.425661594637273,mouse,47
0.6351356036939562,19.035557772719002,dog,82
0.8402055621626885,17.24168865798449,mouse,13
-0.37957427487586964,1.2751764787331208,dog,68
-1.6217954206544491,9.608310000365766,mouse,64
0.12679729012437813,5.136445287382298,cat,75
2.1384725827717626,12.714151555201322,mouse,73
1.6483428065261425,5.321449060190908,dog,81
-0.3260377048320042,-1.5530783693738233,mouse,79
-0.5311952631855009,4.761137970440985,mouse,29
-0.5986951138210884,9.13916832990187,mouse,34
1.47893596244998,11.892562317602584,cat,71
-0.68593961492238,17.149151477954696,mouse,60
-0.4371145115291128,1.5614259868019413,dog,56
1.6553677610256792,19.44521298408023,mouse,41
-0.509187492931877,12.397628432988423,cat,95
1.4373566535968825,6.2510510958865675,mouse,9
-0.4444002879484567,6.817892827548255,mouse,68
-1.433015373885098,6.131933066297931,cat,30
0.3579192665863381,13.096813557768606,cat,61
1.1224009308253582,15.41187919187268,cat,11
-0.44089607917867396,21.024706819969516,cat,36
2.7170526065917544,14.276345467426697,mouse,61
-0.9760481894906591,4.7848647457842315,cat,17
0.04234632805964888,4.127192128762242,dog,99
0.12116288763535958,7.750663830327489,cat,87
-0.9449607711301378,5.365437570298052,dog,92
0.08941499952828873,9.106538786953713,dog,0
