A,B,C,D
-0.16190217715534766,13.77124006096133,mouse,91
0.5612075487613037,6.534436081372474,dog,54
-0.7091961016908552,10.909448537639234,mouse,82
-0.06210987130218648,11.968987088261205,mouse,40
0.9912383634716758,11.765734596606901,cat,24
-0.5752000033604183,7.037914098680678,cat,14
-1.8266894233222457,6.813904455247556,cat,79
-1.3405008236960965,8.319301231498073,dog,34
0.6842747766355818,11.075146847223223,cat,82
0.26918370082656684,10.21916177168842,mouse,8
,13.629774413984908,cat,74
,4.163415663932083,mouse,90
,12.6783393182927,dog,36
,4.743736191633076,dog,36
,-1.083130781786208,mouse,85
,2.2914916758575634,mouse,53
0.1504111732087816,9.611594364050841,mouse,64
0.8900424397239798,6.144602241686872,dog,96
1.1081783521566935,14.734596412539881,dog,28
1.941418682811461,7.837018477726862,mouse,53
0.13215950809975835,8.609595708008497,,46
1.769615184436895,9.605515141516468,,43
0.5231540508009764,15.83894952201981,,31
-0.1739006045148348,11.403756275127456,,55
-2.368532583815085,1.3947626011216627,,60
0.8928806390590956,4.460616739602964,,54
0.12701015650454667,11.918304677443864,mouse,29
-0.034131005974873486,8.453488264580425,dog,16
-0.5430581195211033,16.147496593172992,mouse,92
-0.7360828634097333,11.968261121716022,mouse,56
-0.26996925520475146,12.514631776537723,dog,16
-1.902926404698245,3.553067057952113,cat,10
0.9906269359922778,8.87182039677814,mouse,24
-0.8569633671231979,4.481984126766623,mouse,7
0.34115974466221916,7.039137227458111,cat,43
0.8820097172341516,12.52175369325095,dog,14
0.4242580763021195,1.8834239641545292,mouse,53
-0.15482822194731577,6.853212069712875,cat,98
-0.9975458303250175,13.393920938098766,cat,36
-0.7184337028959767,6.557270804238787,cat,25
-1.5070210389401166,14.74289696763082,dog,81
-0.61163239990276,11.601418844413832,mouse,2
0.6677938215490359,18.183011542381543,cat,27
0.05315423420636018,16.204744333651348,dog,4
1.0827258361913856,14.892825361016381,cat,32
-0.7467074886320322,7.28493593547783,dog,70
-1.149968867864856,5.742225539532273,mouse,42
0.80857343252495,5.402689748856537,dog,12
-0.4177135042267083,9.37490733153458,cat,12
-0.21057439558287683,14.609503046682065,dog,87
1.562177110088359,11.06961478298021,mouse,63
-0.14537058609319392,7.690892323018922,dog,45
-0.20947904301720707,8.839723472623632,mouse,51
-0.6592356065023017,6.610832008207455,mouse,5
-0.3370769709470854,9.710830895120665,dog,14
-0.34846605056359425,13.829021649696836,mouse,6
0.27325553304265204,12.635884524185144,mouse,14
-0.6325214273458671,2.531155609581756,cat,1
-0.481547817894872,13.988987004497684,mouse,53
2.0779416176318715,8.460273529325832,cat,51
1.7469191748425228,8.088501598535045,mouse,80
1.9006684702863632,9.839052437044733,cat,54
-1.0411692761516242,5.02803876199114,cat,92
0.4751599332698169,15.050337392812796,cat,90
-0.00668140601062919,10.808653324926404,cat,49
-0.28467259841156917,7.5418676359136345,dog,91
0.3140546449868594,16.451300586146353,dog,35
0.6347057444445356,7.57517952162487,cat,51
-0.7371061027143736,5.776484520930113,dog,58
0.9360906663675732,19.804434251471314,dog,28
-2.5048481600140704,10.532249280746393,dog,34
1.1249787154256172,0.4244008973224407,cat,51
1.8546973144777619,10.687155073398444,dog,52
-0.853347320833936,2.3267778732461677,mouse,18
1.7517059408640303,19.012574487187045,mouse,51
0.03472539185397053,16.270140792283968,cat,7
-0.38989716839101163,10.82820948645909,mouse,9
2.073491472238272,9.455053436883013,dog,12
-0.9644577878585412,9.98323748167258,mouse,34
1.1372395717311299,3.7163810583455383,cat,36
0.6991819983758477,6.06171885925636,mouse,69
-0.607888946173002,7.3770183828572815,cat,44
-0.09288310872145547,10.527085721526111,dog,0
-0.7044546939182103,9.157433943600934,dog,43
1.1324288357861667,6.092783586375527,mouse,46
-0.01735985550339562,5.2627086371385765,dog,86
-1.3059659959684764,15.867273407458029,dog,82
0.20857350991991816,4.400949212878926,cat,7
1.1389757847531408,9.416216092614352,dog,69
-0.7796654869256323,9.364764987023275,cat,41
1.3999714337979008,9.161741364648451,cat,94
0.11829812247625122,3.6736499788395927,dog,56
-1.163499094696561,13.970522846808525,cat,4
-0.11659308931291158,12.49764871034673,cat,50
0.6815486494191991,8.818893014875789,dog,47
-0.28881723124074354,8.32655933222306,cat,96
-0.9041299622727167,4.984729626503434,cat,40
-0.17990413746220438,18.595240032875004,cat,42
0.5288315332658793,10.223249203065285,dog,51
0.6525821347876036,7.597112304342907,dog,91
